bank,frn,cluster_id,cluster_label,insufficient_data,CET1 Ratio_value,Tier 1 Ratio_value,Total Capital Ratio_value,Leverage Ratio_value,LCR_value,NSFR_value,MREL Ratio_value,CET1 Ratio_year,Tier 1 Ratio_year,Total Capital Ratio_year,Leverage Ratio_year,LCR_year,NSFR_year,MREL Ratio_year,CET1 Ratio_imputed,Tier 1 Ratio_imputed,Total Capital Ratio_imputed,Leverage Ratio_imputed,LCR_imputed,NSFR_imputed,MREL Ratio_imputed
BANK OF AFRICA UK,454750,1,low CET1 Ratio / low Total Capital Ratio,0,17.46,17.46,24.03,17.67,212.0,173.0,26.62,FY2025,FY2025,FY2025,FY2024,FY2025,FY2025,,0,0,0,0,0,0,1
BANK OF BEIRUT UK,219523,0,high CET1 Ratio / high Total Capital Ratio,0,37.49,37.49,41.93,20.42,316.67,310.42,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
BANK OF CEYLON UK,514744,1,low CET1 Ratio / low Total Capital Ratio,0,20.1,20.1,21.7,14.3,131.0,185.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
BANK OF CHINA UK,467410,1,low CET1 Ratio / low Total Capital Ratio,0,27.2,33.2,33.2,24.4,324.1,194.4,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
BANK OF IRELAND UK,512956,1,low CET1 Ratio / low Total Capital Ratio,0,19.6,21.4,23.7,7.2,161.0,135.0,26.2,FY2025,FY2025,FY2025,FY2021,FY2025,FY2025,FY2025,0,0,0,0,0,0,0
BANK OF SCOTLAND,169628,1,low CET1 Ratio / low Total Capital Ratio,0,13.5,16.6,18.4,4.3,273.0,153.75,26.62,FY2025,FY2025,FY2025,FY2025,,,,0,0,0,0,1,1,1
BANK OF THE PHILIPPINE ISLANDS EUROPE,455378,0,high CET1 Ratio / high Total Capital Ratio,0,56.29,56.29,56.29,51.22,206.0,154.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
BANK SADERAT,204488,0,high CET1 Ratio / high Total Capital Ratio,0,331.0,331.0,331.0,9.5,477.0,153.75,26.62,FY2025,FY2025,FY2025,,FY2025,,,0,0,0,1,0,1,1
BANK SEPAH INTERNATIONAL,208019,0,high CET1 Ratio / high Total Capital Ratio,0,102.7,102.7,102.7,55.0,2034.0,581.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
BARCLAYS,759676,1,low CET1 Ratio / low Total Capital Ratio,0,14.5,17.1,20.0,4.8,186.6,152.4,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
BARCLAYS BANK PLC,122702,1,low CET1 Ratio / low Total Capital Ratio,0,12.7,16.1,19.0,5.8,149.7,113.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
BIRMINGHAM BANK,204478,0,high CET1 Ratio / high Total Capital Ratio,0,76.0,76.0,76.0,24.0,725.0,153.75,26.62,FY2024,FY2024,FY2024,FY2024,FY2024,,,0,0,0,0,0,1,1
BLME,464292,1,low CET1 Ratio / low Total Capital Ratio,0,19.29,19.29,19.29,14.95,308.0,121.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
BNY MELLON INTERNATIONAL,183100,0,high CET1 Ratio / high Total Capital Ratio,0,104.22,104.22,104.22,6.1,173.0,446.0,26.62,FY2025,FY2025,FY2025,FY2021,FY2021,FY2021,,0,0,0,0,0,0,1
BRITISH ARAB COMMERCIAL BANK,204564,1,low CET1 Ratio / low Total Capital Ratio,0,13.8,13.8,17.4,7.2,234.0,166.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
BROWN SHIPLEY,124548,1,low CET1 Ratio / low Total Capital Ratio,0,21.6,23.9,23.86,11.23,236.0,162.0,26.62,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,,0,0,0,0,0,0,1
C HOARE AND CO,122093,1,low CET1 Ratio / low Total Capital Ratio,0,22.7,23.0,22.9,9.29,341.0,250.0,26.62,FY2026,FY2025,FY2026,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
CAF BANK,204451,1,low CET1 Ratio / low Total Capital Ratio,0,29.35,29.35,29.7,6.35,543.0,506.0,26.62,FY2024,FY2024,FY2025,FY2025,FY2025,FY2024,,0,0,0,0,0,0,1
CAMBRIDGE AND COUNTIES BANK,579415,1,low CET1 Ratio / low Total Capital Ratio,0,19.2,21.3,21.7,14.71,587.0,136.0,26.62,FY2025,FY2025,FY2025,FY2024,FY2025,FY2024,,0,0,0,0,0,0,1
CASTLE TRUST CAPITAL,541910,1,low CET1 Ratio / low Total Capital Ratio,0,13.35,13.35,15.72,7.22,189.07,178.27,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
CHARITY BANK,207701,1,low CET1 Ratio / low Total Capital Ratio,0,17.33,17.33,19.58,10.13,206.0,139.7,26.62,FY2025,FY2025,FY2025,FY2025,FY2023,FY2023,,0,0,0,0,0,0,1
CHARTER COURT FINANCIAL SERVICES,494549,1,low CET1 Ratio / low Total Capital Ratio,0,16.2,19.86,19.2,6.9,148.0,153.75,26.62,FY2025,,FY2023,FY2023,FY2022,,,0,1,0,0,0,1,1
CHETWOOD,740551,1,low CET1 Ratio / low Total Capital Ratio,0,15.2,15.2,15.2,5.19,194.0,145.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
CITIBANK UK,805574,0,high CET1 Ratio / high Total Capital Ratio,0,72.7,81.8,138.6,76.67,836.0,401.6,26.62,FY2023,FY2023,FY2024,FY2024,FY2023,FY2023,,0,0,0,0,0,0,1
CLEARBANK,754568,0,high CET1 Ratio / high Total Capital Ratio,0,49.75,49.75,49.75,20.05,396.85,20366.5,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
CLOSE BROTHERS,124750,1,low CET1 Ratio / low Total Capital Ratio,0,12.9,15.0,17.1,9.5,943.2,163.0,26.62,FY2025,FY2025,FY2025,,FY2025,FY2025,,0,0,0,1,0,0,1
CLYDESDALE,121873,1,low CET1 Ratio / low Total Capital Ratio,0,14.3,16.6,19.3,6.3,164.0,143.0,31.2,FY2026,FY2026,FY2026,FY2026,FY2026,FY2026,FY2026,0,0,0,0,0,0,0
CO-OPERATIVE BANK,121885,1,low CET1 Ratio / low Total Capital Ratio,0,18.7,18.7,22.7,4.0,193.4,133.3,36.0,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0,0
COUTTS,122287,1,low CET1 Ratio / low Total Capital Ratio,0,11.4,13.5,16.3,7.6,273.0,153.75,26.62,FY2025,FY2025,FY2025,FY2025,,,,0,0,0,0,1,1,1
CREDIT SUISSE INTERNATIONAL,146702,0,high CET1 Ratio / high Total Capital Ratio,0,146.9,146.9,146.9,53.08,341.45,384.98,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
CREDIT SUISSE UK,124269,0,high CET1 Ratio / high Total Capital Ratio,0,191.0,191.0,191.1,87.0,1154.0,3600.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
CROWN AGENTS BANK,204456,1,low CET1 Ratio / low Total Capital Ratio,0,22.9,22.9,22.9,9.5,134.7,130.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
CYNERGY BANK,575105,1,low CET1 Ratio / low Total Capital Ratio,0,13.59,13.59,15.41,6.96,304.44,148.67,26.62,FY2024,FY2024,FY2023,FY2023,FY2023,FY2023,,0,0,0,0,0,0,1
DB UK BANK,140848,1,low CET1 Ratio / low Total Capital Ratio,0,18.45,19.86,536.0,24.0,381.0,202.0,26.62,,,FY2025,FY2025,FY2025,FY2025,,1,1,0,0,0,0,1
DF CAPITAL BANK,848291,1,low CET1 Ratio / low Total Capital Ratio,0,18.0,18.0,20.5,12.8,704.0,148.2,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2023,,0,0,0,0,0,0,1
EFG PRIVATE BANK,144036,1,low CET1 Ratio / low Total Capital Ratio,0,13.46,17.24,17.24,5.09,213.0,154.0,26.62,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,,0,0,0,0,0,0,1
FCE BANK,204469,1,low CET1 Ratio / low Total Capital Ratio,0,16.17,16.17,18.66,16.95,303.0,135.0,26.62,FY2025,FY2025,FY2025,FY2021,FY2025,FY2025,,0,0,0,0,0,0,1
FCMB UK,502704,1,low CET1 Ratio / low Total Capital Ratio,0,14.83,25.0,17.43,8.81,273.0,157.0,26.62,FY2025,FY2020,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
FIDBANK UK,400712,1,low CET1 Ratio / low Total Capital Ratio,0,41.28,41.28,21.99,19.45,178.0,211.78,26.62,FY2024,FY2024,FY2025,FY2024,FY2025,FY2024,,0,0,0,0,0,0,1
FIRSTBANK UK,216772,1,low CET1 Ratio / low Total Capital Ratio,0,22.0,26.07,24.0,14.12,409.09,213.0,26.62,FY2025,FY2024,FY2025,FY2024,FY2024,FY2024,,0,0,0,0,0,0,1
GATEHOUSE BANK,475346,1,low CET1 Ratio / low Total Capital Ratio,0,17.1,17.1,20.0,7.4,447.6,153.5,26.62,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,,0,0,0,0,0,0,1
GB BANK,850286,1,low CET1 Ratio / low Total Capital Ratio,0,19.14,19.14,19.14,4.97,210.0,191.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
GHANA INTERNATIONAL BANK,204471,1,low CET1 Ratio / low Total Capital Ratio,0,21.5,21.5,21.5,14.66,213.0,255.98,26.62,FY2025,FY2025,FY2025,FY2024,FY2025,FY2024,,0,0,0,0,0,0,1
GOLDMAN SACHS INTERNATIONAL BANK,124659,1,low CET1 Ratio / low Total Capital Ratio,0,24.81,24.81,28.96,8.39,155.57,130.01,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
GRIFFIN BANK,970920,0,high CET1 Ratio / high Total Capital Ratio,0,112.0,456.0,456.0,91.0,2675.0,1034.0,26.62,FY2025,FY2023,FY2023,FY2023,FY2023,FY2023,,0,0,0,0,0,0,1
GUARANTY TRUST BANK UK,466611,1,low CET1 Ratio / low Total Capital Ratio,0,36.69,36.69,36.69,9.11,197.0,211.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
GULF INTERNATIONAL BANK UK,124772,1,low CET1 Ratio / low Total Capital Ratio,0,22.18,22.18,22.18,5.02,286.32,230.91,26.62,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,,0,0,0,0,0,0,1
HABIB BANK ZURICH,627671,1,low CET1 Ratio / low Total Capital Ratio,0,15.22,15.22,17.81,9.26,232.0,133.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
HAMPDEN & CO,606934,1,low CET1 Ratio / low Total Capital Ratio,0,20.53,20.53,17.0,8.36,180.0,186.0,26.62,FY2023,FY2023,FY2025,FY2023,FY2021,FY2023,,0,0,0,0,0,0,1
HAMPSHIRE TRUST BANK,204601,1,low CET1 Ratio / low Total Capital Ratio,0,13.5,14.1,16.8,7.5,346.9,158.9,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
HANDELSBANKEN,806852,1,low CET1 Ratio / low Total Capital Ratio,0,17.5,17.5,20.0,9.4,180.0,130.0,23.6,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0,0
HBL BANK UK,188585,1,low CET1 Ratio / low Total Capital Ratio,0,15.46,19.47,21.29,13.11,235.0,145.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
HSBC BANK PLC,114216,1,low CET1 Ratio / low Total Capital Ratio,0,17.9,21.6,36.9,4.5,148.0,114.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
HSBC INNOVATION BANK,543146,1,low CET1 Ratio / low Total Capital Ratio,0,13.5,16.0,19.3,17.6,150.0,203.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2022,FY2022,,0,0,0,0,0,0,1
HSBC UK BANK PLC,765112,1,low CET1 Ratio / low Total Capital Ratio,0,13.2,15.5,18.6,5.6,175.0,146.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
ICBC (LONDON) PLC,222030,0,high CET1 Ratio / high Total Capital Ratio,0,81.09,81.09,81.09,47.48,143.7,173.34,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
ICBC STANDARD BANK PLC,124823,1,low CET1 Ratio / low Total Capital Ratio,0,12.2,13.3,15.0,5.6,197.3,153.75,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,,,0,0,0,0,0,1,1
ICICI BANK UK,223268,1,low CET1 Ratio / low Total Capital Ratio,0,17.07,17.07,19.67,11.54,171.83,132.18,26.62,FY2026,FY2026,FY2026,FY2026,FY2026,FY2026,,0,0,0,0,0,0,1
IFAST GLOBAL BANK LIMITED,716167,1,low CET1 Ratio / low Total Capital Ratio,0,20.2,23.9,23.9,11.0,531.0,190.9,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
INVESTEC BANK PLC,172330,1,low CET1 Ratio / low Total Capital Ratio,0,13.3,15.0,18.6,9.5,361.0,141.0,26.62,FY2026,FY2026,FY2026,FY2026,FY2026,FY2026,,0,0,0,0,0,0,1
ITAU BBA INTERNATIONAL,575225,1,low CET1 Ratio / low Total Capital Ratio,0,29.0,29.0,29.0,19.1,208.0,161.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2023,FY2023,,0,0,0,0,0,0,1
JORDAN INTERNATIONAL BANK,183722,1,low CET1 Ratio / low Total Capital Ratio,0,19.9,19.9,19.9,19.3,490.0,129.0,26.62,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,,0,0,0,0,0,0,1
JP MORGAN EUROPE,124579,0,high CET1 Ratio / high Total Capital Ratio,0,249.23,249.23,249.23,94.12,241.17,155.44,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
JP MORGAN SECURITIES,155240,1,low CET1 Ratio / low Total Capital Ratio,0,16.4,20.8,24.6,6.3,174.25,118.55,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
JULIAN HODGE BANK,204439,1,low CET1 Ratio / low Total Capital Ratio,0,17.5,17.5,17.5,9.6,176.9,150.5,26.62,FY2025,FY2025,FY2025,FY2023,FY2023,FY2023,,0,0,0,0,0,0,1
KEXIM BANK UK,204490,1,low CET1 Ratio / low Total Capital Ratio,0,20.5,20.5,20.5,16.9,1375.0,111.1,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
KINGDOM BANK,400972,1,low CET1 Ratio / low Total Capital Ratio,0,18.8,18.8,18.84,12.4,1382.23,160.67,26.62,FY2025,FY2025,FY2021,FY2025,FY2021,FY2021,,0,0,0,0,0,0,1
KROO BANK,953772,1,low CET1 Ratio / low Total Capital Ratio,0,24.0,24.0,24.0,21.2,758.0,4522.0,26.62,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,,0,0,0,0,0,0,1
