url	kind	is_pdf	cited_by
https://afinbank.com/wp-content/uploads/2025/09/Afin-Bank-2024-Pillar-3-Disclosures-FINAL.pdf	live	pdf	build_afin_bank.py:-;build_afin_bank.py:ASSET_QUALITY_SOURCES;build_afin_bank.py:P3_2024_URL;build_afin_bank.py:P3_SOURCES;build_afin_bank.py:RWA_BREAKDOWN_SOURCES
https://afinbank.com/wp-content/uploads/2025/09/Afin-Bank-Ltd-Year-End-Accounts-FV24-FINAL-SIGNED.pdf	live	pdf	build_afin_bank.py:-;build_afin_bank.py:AR_2024_URL;build_afin_bank.py:ASSET_QUALITY_SOURCES;build_afin_bank.py:BALANCE_SHEET_SOURCES;build_afin_bank.py:CASH_FLOW_SOURCES;build_afin_bank.py:EQUITY_CHANGES_SOURCES;build_afin_bank.py:INCOME_STATEMENT_SOURCES
https://aib.ie/content/dam/frontdoor/investorrelations/docs/resultscentre/annualreport/2022/AIB-Group-UK-p.l.c-Annual-Financial-Report-2022.pdf	live	pdf	build_aib_uk.py:-;build_aib_uk.py:AR2022_URL;build_aib_uk.py:ASSET_QUALITY_SOURCES;build_aib_uk.py:BALANCE_SHEET_SOURCES;build_aib_uk.py:CASH_FLOW_SOURCES;build_aib_uk.py:EQUITY_CHANGES_SOURCES;build_aib_uk.py:INCOME_STATEMENT_SOURCES
https://aib.ie/content/dam/frontdoor/investorrelations/docs/resultscentre/annualreport/2023/aib-group-uk-plc-annual-financial-report-2023.pdf	live	pdf	build_aib_uk.py:-;build_aib_uk.py:AR2023_URL;build_aib_uk.py:ASSET_QUALITY_SOURCES;build_aib_uk.py:BALANCE_SHEET_SOURCES;build_aib_uk.py:CASH_FLOW_SOURCES;build_aib_uk.py:EQUITY_CHANGES_SOURCES;build_aib_uk.py:INCOME_STATEMENT_SOURCES;build_aib_uk.py:RWA_BREAKDOWN_SOURCES
https://alphabanklondon.co.uk/wp-content/uploads/2020/05/ABL-Financial-Statements-2019-1.pdf	live	pdf	build_alpha_bank_london.py:-;build_alpha_bank_london.py:AR19_URL_DEAD;build_alpha_bank_london.py:ASSET_QUALITY_SOURCES;build_alpha_bank_london.py:BALANCE_SHEET_SOURCES;build_alpha_bank_london.py:CASH_FLOW_SOURCES;build_alpha_bank_london.py:ENTITY_NOTE;build_alpha_bank_london.py:EQUITY_CHANGES_SOURCES;build_alpha_bank_london.py:INCOME_STATEMENT_SOURCES;build_alpha_bank_london.py:LINK_PROVENANCE;build_alpha_bank_london.py:RWA_BREAKDOWN_SOURCES
https://arabbankeurope.com/	live	-	build_arab_bank_europe.py:-;build_arab_bank_europe.py:FY2324_ONLY_NOTE;build_arab_bank_europe.py:NOT_DISCLOSED_NOTE;build_arab_bank_europe.py:SDDT_NOTE
https://arabbankeurope.com/downloads/pillar-iii-disclosures/	live	-	build_arab_bank_europe.py:-;build_arab_bank_europe.py:RWA_NOT_DISCLOSED_NOTE
https://arabbankeurope.com/wp-content/uploads/202602_EABAnnualReport_v9.pdf	live	pdf	build_arab_bank_europe.py:-;build_arab_bank_europe.py:RWA_NOT_DISCLOSED_NOTE
https://assets.ctfassets.net/056oa4qkl0n4/3IhfDT5SeXi0hEaeG4qX3P/066a72110553dbd149a1e9e27c095ffb/2021_Pillar_3_Disclosures_document.pdf	live	pdf	build_monument_bank.py:-;build_monument_bank.py:P3_21_URL;build_monument_bank.py:P3_SOURCES
https://assets.ctfassets.net/xzmqg68ot16t/1aUkuB7BcAd8Pj5Kq0RNqh/101ced4af6be2d55cd37fad3542829b2/Cynergy_Bank_-_Annual_Report_2025.pdf	live	pdf	build_cynergy_bank.py:-;build_cynergy_bank.py:AR2025_URL;build_cynergy_bank.py:ASSET_QUALITY_SOURCES;build_cynergy_bank.py:CASH_FLOW_SOURCES;build_cynergy_bank.py:STATEMENTS_SOURCES
https://assets.ctfassets.net/xzmqg68ot16t/2AeSbXsBP7fwKhngGTLWxb/ca86e60128ab83d41842b85ae74aa326/Annual_Report_2024.pdf	live	pdf	build_cynergy_bank.py:-;build_cynergy_bank.py:AR2024_URL;build_cynergy_bank.py:ASSET_QUALITY_SOURCES;build_cynergy_bank.py:CASH_FLOW_SOURCES;build_cynergy_bank.py:STATEMENTS_SOURCES
https://assets.ctfassets.net/xzmqg68ot16t/2oPLoaeUJ2c4kRJcNMSyMp/54230fc39821a0d6ede6f81f1c7528ce/Cynergy_Bank_Limited_-_Annual_Report_2023.pdf	live	pdf	build_cynergy_bank.py:-;build_cynergy_bank.py:AR2023_URL;build_cynergy_bank.py:ASSET_QUALITY_SOURCES;build_cynergy_bank.py:CASH_FLOW_SOURCES;build_cynergy_bank.py:STATEMENTS_SOURCES
https://assets.ctfassets.net/xzmqg68ot16t/2v6FmkY7vFJwKVYPsdkTkg/2c74d882695a4854e99edf9a78ac6b00/cynergy-bank-pillar-3-2021.pdf	live	pdf	build_cynergy_bank.py:-;build_cynergy_bank.py:P3_2021_CDN_URL
https://assets.ctfassets.net/xzmqg68ot16t/3qKJzsAiu3dGAA2EQBSzPo/bbb85f662bef802d29fb7144d087c761/cynergy-bank-2022-pillar-3-disclosures.pdf	live	pdf	build_cynergy_bank.py:-;build_cynergy_bank.py:P3_2022_CDN_URL
https://assets.ctfassets.net/xzmqg68ot16t/5lTzyJuIg2zRrc7GGyH6Gv/6eb39217d6164e649f946b7aed50a0cb/Cynergy_Bank_Pillar_3_Disclosures_2023.pdf	live	pdf	build_cynergy_bank.py:-;build_cynergy_bank.py:P3_2023_URL
https://assets.gatehousebank.com/production/downloads/Gatehouse-Bank-Annual-Report-2021-FINAL-web.pdf	live	pdf	build_gatehouse.py:-;build_gatehouse.py:AR2021_URL;build_gatehouse.py:CASH_FLOW_SOURCES;build_gatehouse.py:STATEMENTS_SOURCES
https://assets.gatehousebank.com/production/downloads/Gatehouse-Bank-Annual-Report-2025.pdf	live	pdf	build_gatehouse.py:-;build_gatehouse.py:AR2025_URL;build_gatehouse.py:CASH_FLOW_SOURCES;build_gatehouse.py:STATEMENTS_SOURCES
https://assets.gatehousebank.com/production/downloads/Gatehouse-Bank-Pillar-III-Disclosure-2021-FINAL_2022-08-23-154942_nofu.pdf	live	pdf	build_gatehouse.py:-;build_gatehouse.py:P3_2021_URL
https://assets.gatehousebank.com/production/downloads/Gatehouse-Bank-Pillar-III-Disclosure-2023-FINAL.pdf	live	pdf	build_gatehouse.py:-;build_gatehouse.py:P3_2023_URL
https://assets.gatehousebank.com/production/downloads/Gatehouse-Bank-Pillar-III-Disclosure-2024-FINAL.pdf	live	pdf	build_gatehouse.py:-;build_gatehouse.py:P3_2024_URL
https://assets.gatehousebank.com/production/downloads/gatehousebankannualreport2017-wesbite2.pdf	live	pdf	build_gatehouse.py:-;build_gatehouse.py:AR2017_URL;build_gatehouse.py:CASH_FLOW_SOURCES;build_gatehouse.py:ENTITY_NOTE;build_gatehouse.py:STATEMENTS_SOURCES
https://assets.gatehousebank.com/production/downloads/gatehousebankpillariiidisclosure2017.pdf	live	pdf	build_gatehouse.py:-;build_gatehouse.py:CASH_FLOW_SOURCES;build_gatehouse.py:ENTITY_NOTE;build_gatehouse.py:P3_2017_URL;build_gatehouse.py:STATEMENTS_SOURCES
https://assets.gatehousebank.com/production/downloads/gatehousebankpillariiidisclosure2017.pdf)	live	-	build_gatehouse.py:-
https://assets.santandermedia.com/adobe/assets/urn:aaid:aem:3af8ccd7-5ee0-4196-9577-83a30558e64c/original/as/02536CCAA25SantanderFinancialServicesPlc.pdf	live	pdf	build_santander_financial_services.py:-;build_santander_financial_services.py:AQ_SOURCES;build_santander_financial_services.py:AR2025;build_santander_financial_services.py:CAPITAL_SOURCES;build_santander_financial_services.py:CASH_SOURCES;build_santander_financial_services.py:LIQ_SOURCES;build_santander_financial_services.py:STATEMENT_SOURCES
https://assets.santandermedia.com/adobe/assets/urn:aaid:aem:58592004-0ef9-4156-9df8-367908fc81a9/original/as/sfs_2021_annual_report.pdf	live	pdf	build_santander_financial_services.py:-;build_santander_financial_services.py:AQ_SOURCES;build_santander_financial_services.py:AR2021;build_santander_financial_services.py:CAPITAL_SOURCES;build_santander_financial_services.py:CASH_SOURCES;build_santander_financial_services.py:LIQ_SOURCES;build_santander_financial_services.py:STATEMENT_SOURCES
https://assets.santandermedia.com/adobe/assets/urn:aaid:aem:8da5f087-d631-4188-9c9c-9671410070c5/original/as/sfs_annual_report_2023.pdf	live	pdf	build_santander_financial_services.py:-;build_santander_financial_services.py:AQ_SOURCES;build_santander_financial_services.py:AR2023;build_santander_financial_services.py:CAPITAL_SOURCES;build_santander_financial_services.py:CASH_SOURCES;build_santander_financial_services.py:LIQ_SOURCES;build_santander_financial_services.py:STATEMENT_SOURCES
https://assets.santandermedia.com/adobe/assets/urn:aaid:aem:f15fea69-5780-484a-bb22-ce42b29eeac3/original/as/santander_financial_services_plc_2022_annual_report.pdf	live	pdf	build_santander_financial_services.py:-;build_santander_financial_services.py:AR2022;build_santander_financial_services.py:CAPITAL_SOURCES;build_santander_financial_services.py:CASH_SOURCES;build_santander_financial_services.py:LIQ_SOURCES;build_santander_financial_services.py:STATEMENT_SOURCES
https://assets.unity.co.uk/2022/08/PILLAR3-2021-FINAL.pdf	live	pdf	build_unity_trust.py:-;build_unity_trust.py:P3_2021_URL;build_unity_trust.py:RWA_BREAKDOWN_SOURCES
https://assets.unity.co.uk/2022/08/Unity-Trust-Bank_Report-and-Accounts-2021.pdf	live	pdf	build_unity_trust.py:-;build_unity_trust.py:AR2021_URL;build_unity_trust.py:ASSET_QUALITY_SOURCES;build_unity_trust.py:CASH_FLOW_SOURCES;build_unity_trust.py:STATEMENTS_SOURCES
https://assets.unity.co.uk/2023/03/Unity-Trust-Bank_2022-Pillar-3-Disclosures.pdf	live	pdf	build_unity_trust.py:-;build_unity_trust.py:P3_2022_URL
https://assets.unity.co.uk/U798_0324_Unity_Trust_Bank_Annual-Report-and-Accounts_2023.pdf	live	pdf	build_unity_trust.py:-;build_unity_trust.py:AR2023_URL;build_unity_trust.py:ASSET_QUALITY_SOURCES;build_unity_trust.py:CASH_FLOW_SOURCES;build_unity_trust.py:STATEMENTS_SOURCES
https://assets.unity.co.uk/Unity-Trust-Bank-Annual-Report-and-Accounts-2024.pdf	live	pdf	build_unity_trust.py:-;build_unity_trust.py:AR2024_URL;build_unity_trust.py:ASSET_QUALITY_SOURCES;build_unity_trust.py:CASH_FLOW_SOURCES
https://assets.unity.co.uk/Unity-Trust-Bank-Annual-Report-and-Accounts-2025.pdf	live	pdf	build_unity_trust.py:-;build_unity_trust.py:AR2025_URL;build_unity_trust.py:ASSET_QUALITY_SOURCES;build_unity_trust.py:CASH_FLOW_SOURCES;build_unity_trust.py:STATEMENTS_SOURCES
https://assets.unity.co.uk/Unity-Trust-Bank-PILLAR3-2019.pdf	live	pdf	build_unity_trust.py:-;build_unity_trust.py:P3_2019_URL;build_unity_trust.py:RWA_BREAKDOWN_SOURCES
https://assets.unity.co.uk/Unity-Trust-Bank-PILLAR3-2023-1.pdf	live	pdf	build_unity_trust.py:-;build_unity_trust.py:P3_2023_URL;build_unity_trust.py:RWA_BREAKDOWN_SOURCES
https://assets.unity.co.uk/Unity-Trust-Bank-PILLAR3-2024.pdf	live	pdf	build_unity_trust.py:-;build_unity_trust.py:P3_2024_URL
https://assets.unity.co.uk/Unity-Trust-Bank-PILLAR3-2025-1.pdf	live	pdf	build_unity_trust.py:-;build_unity_trust.py:P3_2025_URL;build_unity_trust.py:RWA_BREAKDOWN_SOURCES
https://assets.website-files.com/62a364a1705cce548303c9aa/6337028c7519c4c08e1b5d54_TML_Pillar%203%202021.12.31_Board.pdf	live	pdf	build_tandem.py:-;build_tandem.py:P3_2021_URL;build_tandem.py:RWA_BREAKDOWN_SOURCES
https://bankofceylon.co.uk/downloads/corporate/BOCUK_Financial_statements_2023.pdf	live	pdf	build_bank_of_ceylon_uk.py:-
https://brownshipley.com/media/o4tl2pod/pillar-3-disclosure-2024-final-draft_cleanv2.pdf	live	pdf	build_brown_shipley.py:-;build_brown_shipley.py:P3_2024_URL;build_brown_shipley.py:TOTAL_CAPITAL_SOURCES
https://ccbank.co.uk/wp-content/uploads/2021/05/CCB-Pillar-3-2017.pdf	live	pdf	build_cambridge_and_counties.py:-;build_cambridge_and_counties.py:P3_2017_URL;build_cambridge_and_counties.py:RWA_BREAKDOWN_SOURCES
https://ccbank.co.uk/wp-content/uploads/2021/05/CCB-Pillar-3-2018.pdf	live	pdf	build_cambridge_and_counties.py:-;build_cambridge_and_counties.py:P3_2018_URL;build_cambridge_and_counties.py:RWA_BREAKDOWN_SOURCES
https://ccbank.co.uk/wp-content/uploads/2021/05/CCB-Pillar-3-2019.pdf	live	pdf	build_cambridge_and_counties.py:-;build_cambridge_and_counties.py:P3_2019_URL;build_cambridge_and_counties.py:RWA_BREAKDOWN_SOURCES
https://ccbank.co.uk/wp-content/uploads/2021/05/CCB-Pillar-3-Disclosures-2015.pdf	live	pdf	build_cambridge_and_counties.py:-;build_cambridge_and_counties.py:P3_2015_URL
https://ccbank.co.uk/wp-content/uploads/2021/05/CCB-Pillar-3-Disclosures-2016.pdf	live	pdf	build_cambridge_and_counties.py:-;build_cambridge_and_counties.py:P3_2016_URL;build_cambridge_and_counties.py:RWA_BREAKDOWN_SOURCES
https://ccbank.co.uk/wp-content/uploads/2021/07/CCB-Pillar-3-2020.pdf	live	pdf	build_cambridge_and_counties.py:-;build_cambridge_and_counties.py:P3_2020_URL;build_cambridge_and_counties.py:RWA_BREAKDOWN_SOURCES
https://ccbank.co.uk/wp-content/uploads/2022/06/CCB_Pillar-3-2021.pdf	live	pdf	build_cambridge_and_counties.py:-;build_cambridge_and_counties.py:P3_2021_URL
https://ccbank.co.uk/wp-content/uploads/2023/05/Pillar-3-Disclosure2022.pdf	live	pdf	build_cambridge_and_counties.py:-;build_cambridge_and_counties.py:P3_2022_URL;build_cambridge_and_counties.py:RWA_BREAKDOWN_SOURCES
https://ccbank.co.uk/wp-content/uploads/2023/06/CCB_Annual-Report_2022.pdf	live	pdf	build_cambridge_and_counties.py:-;build_cambridge_and_counties.py:AR2022_URL;build_cambridge_and_counties.py:ASSET_QUALITY_SOURCES;build_cambridge_and_counties.py:CASH_FLOW_SOURCES;build_cambridge_and_counties.py:STATEMENTS_SOURCES
https://ccbank.co.uk/wp-content/uploads/2024/05/Pillar-3-report-2023-Cambridge-Counties-Bank.docx	live	-	build_cambridge_and_counties.py:-;build_cambridge_and_counties.py:P3_2023_URL;build_cambridge_and_counties.py:RWA_BREAKDOWN_SOURCES
https://ccbank.co.uk/wp-content/uploads/2025/05/86395_CCB-2024-Annual-Report-web.pdf	live	pdf	build_cambridge_and_counties.py:-;build_cambridge_and_counties.py:AR2024_URL;build_cambridge_and_counties.py:ASSET_QUALITY_SOURCES;build_cambridge_and_counties.py:CASH_FLOW_SOURCES;build_cambridge_and_counties.py:STATEMENTS_SOURCES
https://ccbank.co.uk/wp-content/uploads/2025/05/Pillar-3-report-CCB-2024.docx	live	-	build_cambridge_and_counties.py:-;build_cambridge_and_counties.py:P3_2024_URL;build_cambridge_and_counties.py:RWA_BREAKDOWN_SOURCES
https://ccbank.co.uk/wp-content/uploads/2026/04/Cambridge__Counties-Bank_Annual-Report_2025.pdf	live	pdf	build_cambridge_and_counties.py:-;build_cambridge_and_counties.py:AR2025_URL;build_cambridge_and_counties.py:ASSET_QUALITY_SOURCES;build_cambridge_and_counties.py:CASH_FLOW_SOURCES;build_cambridge_and_counties.py:STATEMENTS_SOURCES
