bank,frn,cluster_id,cluster_label,insufficient_data,CET1 Ratio_value,Tier 1 Ratio_value,Total Capital Ratio_value,Leverage Ratio_value,LCR_value,NSFR_value,CET1 Ratio_year,Tier 1 Ratio_year,Total Capital Ratio_year,Leverage Ratio_year,LCR_year,NSFR_year,CET1 Ratio_imputed,Tier 1 Ratio_imputed,Total Capital Ratio_imputed,Leverage Ratio_imputed,LCR_imputed,NSFR_imputed
INVESTEC BANK PLC,172330,0,low Tier 1 Ratio / low CET1 Ratio,0,13.3,15.0,18.6,9.5,287.0,153.75,FY2026,FY2026,FY2026,FY2026,,,0,0,0,0,1,1
JORDAN INTERNATIONAL BANK,183722,0,low Tier 1 Ratio / low CET1 Ratio,0,19.9,19.9,19.9,19.3,490.0,129.0,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
JP MORGAN EUROPE,124579,1,high Tier 1 Ratio / high CET1 Ratio,0,249.23,249.23,249.23,94.12,241.17,155.44,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
JP MORGAN SECURITIES,155240,0,low Tier 1 Ratio / low CET1 Ratio,0,16.4,20.8,24.6,6.3,174.25,118.55,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
JULIAN HODGE BANK,204439,0,low Tier 1 Ratio / low CET1 Ratio,0,17.5,17.5,17.5,10.5,176.9,150.5,FY2025,FY2025,FY2025,FY2023,FY2023,FY2023,0,0,0,0,0,0
KROO BANK,953772,0,low Tier 1 Ratio / low CET1 Ratio,0,24.0,24.0,24.0,21.2,758.0,4522.0,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
KUWAIT FINANCE HOUSE,131818,0,low Tier 1 Ratio / low CET1 Ratio,0,20.1,20.1,20.1,14.2,592.3,139.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
LHV,993767,0,low Tier 1 Ratio / low CET1 Ratio,0,18.5,18.5,20.3,14.4,196.0,182.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
LLOYDS BANK,119278,0,low Tier 1 Ratio / low CET1 Ratio,0,13.6,16.4,20.1,5.2,135.0,119.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
LLOYDS BANK CORPORATE MARKETS,763256,0,low Tier 1 Ratio / low CET1 Ratio,0,13.7,31.8,31.8,8.4,169.0,133.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
MELLI BANK,207380,1,high Tier 1 Ratio / high CET1 Ratio,0,55.0,55.0,55.0,9.8,697.0,153.75,FY2024,FY2024,FY2024,,FY2024,,0,0,0,1,0,1
